template,setup,algorithm,n_edges_target,mean_unfaithfulness,std_unfaithfulness,n
plural_2,eap-ig_20,EAP-IG,1005,0.06633896577571119,0.026620877676661523,4
plural_2,eap-ig_20,EAP-IG,1502,0.08008476277547223,0.022417544290943024,4
plural_2,eap-ig_20,EAP-IG,2000,0.0729316254456838,0.028002263209638115,4
plural_3,eap-ig_20,EAP-IG,10,0.994753876409959,0.00908655260073657,4
plural_3,eap-ig_20,EAP-IG,507,0.08018441876245778,0.030175233824364923,4
plural_3,eap-ig_20,EAP-IG,1005,0.07441646771020248,0.02545222340282554,4
plural_3,eap-ig_20,EAP-IG,1502,0.06331094347866485,0.027509360159376692,4
plural_3,eap-ig_20,EAP-IG,2000,0.05291560951361663,0.010303269571728696,4
plural_4,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_4,eap-ig_20,EAP-IG,507,0.07848340224188108,0.060546480059544244,4
plural_4,eap-ig_20,EAP-IG,1005,0.055486863364393894,0.03184829317154746,4
plural_4,eap-ig_20,EAP-IG,1502,0.057033791908851036,0.05013131782632611,4
plural_4,eap-ig_20,EAP-IG,2000,0.049811023215834915,0.04665434046940323,4
plural_5,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_5,eap-ig_20,EAP-IG,507,0.1738486099396906,0.03171695997687861,4
plural_5,eap-ig_20,EAP-IG,1005,0.11589265199939883,0.026371090049831045,4
plural_5,eap-ig_20,EAP-IG,1502,0.09970415909552859,0.02401143696200457,4
plural_5,eap-ig_20,EAP-IG,2000,0.08050788109382939,0.020254083949143926,4
plural_6,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_6,eap-ig_20,EAP-IG,507,0.05068856067225044,0.013976718112066407,4
plural_6,eap-ig_20,EAP-IG,1005,0.04500958422089324,0.009983681053849062,4
plural_6,eap-ig_20,EAP-IG,1502,0.047046697322352254,0.013075167186797347,4
plural_6,eap-ig_20,EAP-IG,2000,0.03888929096214912,0.00991099576183443,4
plural_7,eap-ig_20,EAP-IG,10,0.9334423875936033,0.032838804336422486,4
plural_7,eap-ig_20,EAP-IG,507,0.18183810745794624,0.028047828942407635,4
plural_7,eap-ig_20,EAP-IG,1005,0.13911557697232754,0.036041277289810277,4
plural_7,eap-ig_20,EAP-IG,1502,0.08992152696564083,0.02291674095332442,4
plural_7,eap-ig_20,EAP-IG,2000,0.09566507819626067,0.028230194143993838,4
plural_8,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_8,eap-ig_20,EAP-IG,507,0.26772899637144215,0.033877414840682775,4
plural_8,eap-ig_20,EAP-IG,1005,0.14799209342512856,0.0186098104934068,4
plural_8,eap-ig_20,EAP-IG,1502,0.1259089670589223,0.03310421707266477,4
plural_8,eap-ig_20,EAP-IG,2000,0.11080347843113854,0.011040743079152208,4
plural_9,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_9,eap-ig_20,EAP-IG,507,0.47973512607484664,0.06300206017467232,4
plural_9,eap-ig_20,EAP-IG,1005,0.2700139567357791,0.024939576509854223,4
plural_9,eap-ig_20,EAP-IG,1502,0.18505263420037138,0.01409771910442247,4
plural_9,eap-ig_20,EAP-IG,2000,0.1644961209215481,0.019147912331627576,4
plural_10,eap-ig_20,EAP-IG,10,1.0,0.0,1
plural_10,eap-ig_20,EAP-IG,507,0.10181105136871338,0.0,1
plural_10,eap-ig_20,EAP-IG,1005,0.02583831548690796,0.0,1
plural_10,eap-ig_20,EAP-IG,1502,0.0016143321990966797,0.0,1
plural_10,eap-ig_20,EAP-IG,2000,0.008132696151733398,0.0,1
plural_11,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_11,eap-ig_20,EAP-IG,507,0.4195942621057232,0.12297511472274843,4
