template,setup,algorithm,n_edges_target,mean_pairwise_jaccard,std_pairwise_jaccard,n
single_8,eap-ig_20,EAP-IG,1502,0.8052267025237462,0.02357661307257616,6
single_8,eap-ig_20,EAP-IG,2000,0.8106725440190772,0.021321792676784836,6
single_9,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_9,eap-ig_20,EAP-IG,507,0.8188713609743189,0.030153542432777628,6
single_9,eap-ig_20,EAP-IG,1005,0.812804087880111,0.040441531769247925,6
single_9,eap-ig_20,EAP-IG,1502,0.7671143400380611,0.045337865104427305,6
single_9,eap-ig_20,EAP-IG,2000,0.7810626668827493,0.05264870580938484,6
single_10,eap-ig_20,EAP-IG,10,1.0,0.0,3
single_10,eap-ig_20,EAP-IG,507,0.6021333333333333,0.2813342180080877,3
single_10,eap-ig_20,EAP-IG,1005,0.5972222222222222,0.284806897977915,3
single_10,eap-ig_20,EAP-IG,1502,0.6075423457973793,0.27750946861523823,3
single_10,eap-ig_20,EAP-IG,2000,0.6047008547008547,0.279518706238272,3
single_11,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_11,eap-ig_20,EAP-IG,507,0.41921468116129784,0.07852553039390932,6
single_11,eap-ig_20,EAP-IG,1005,0.38916309190058723,0.0679716334295834,6
single_11,eap-ig_20,EAP-IG,1502,0.383809248898413,0.07397388190180354,6
single_11,eap-ig_20,EAP-IG,2000,0.38753106587750036,0.075058076716166,6
single_12,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_12,eap-ig_20,EAP-IG,507,0.8085638017820606,0.019558530651216433,6
single_12,eap-ig_20,EAP-IG,1005,0.7185609287625061,0.021957876821441888,6
single_12,eap-ig_20,EAP-IG,1502,0.7099559072891798,0.019357470906417575,6
single_12,eap-ig_20,EAP-IG,2000,0.6772091532721527,0.024320313128476573,6
single_13,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_13,eap-ig_20,EAP-IG,507,0.5290687071395874,0.07123167572133839,6
single_13,eap-ig_20,EAP-IG,1005,0.49401391642705317,0.04124621902096521,6
single_13,eap-ig_20,EAP-IG,1502,0.48479937930962497,0.04032379504411278,6
single_13,eap-ig_20,EAP-IG,2000,0.4725324211373665,0.03582617021449015,6
single_14,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_14,eap-ig_20,EAP-IG,507,0.818211038127249,0.026749225152023545,6
single_14,eap-ig_20,EAP-IG,1005,0.7981049264652736,0.034994299777931545,6
single_14,eap-ig_20,EAP-IG,1502,0.7920853467350919,0.037661053193445676,6
single_14,eap-ig_20,EAP-IG,2000,0.7681491196331315,0.04321212204725179,6
